date,username,text,case folding,tokenizing,filtering,stemmed,tweet_final
2/20/2023 4:44,QuakesToday,4 1 magnitude 24 km from Gaziantep Turkey ,4 1 magnitude 24 km from gaziantep turkey ,"['4', '1', 'magnitude', '24', 'km', 'from', 'gaziantep', 'turkey']","['4', '1', 'magnitude', '24', 'km', 'gaziantep', 'turkey']","['4', '1', 'magnitud', '24', 'km', 'gaziantep', 'turkey']",4 1 magnitud 24 km gaziantep turkey
2/20/2023 4:44,michaelshermer,Regulated capitalism has been one of the biggest drivers of human progress Unregulated capitalism leads to bank real estate failures like in 2008 Earthquakes in So Cal where I live kill dozens at most in Turkey they kill tens of thousands Why Lack of gov refs building codes,regulated capitalism has been one of the biggest drivers of human progress unregulated capitalism leads to bank real estate failures like in 2008 earthquakes in so cal where i live kill dozens at most in turkey they kill tens of thousands why lack of gov refs building codes,"['regulated', 'capitalism', 'has', 'been', 'one', 'of', 'the', 'biggest', 'drivers', 'of', 'human', 'progress', 'unregulated', 'capitalism', 'leads', 'to', 'bank', 'real', 'estate', 'failures', 'like', 'in', '2008', 'earthquakes', 'in', 'so', 'cal', 'where', 'i', 'live', 'kill', 'dozens', 'at', 'most', 'in', 'turkey', 'they', 'kill', 'tens', 'of', 'thousands', 'why', 'lack', 'of', 'gov', 'refs', 'building', 'codes']","['regulated', 'capitalism', 'one', 'biggest', 'drivers', 'human', 'progress', 'unregulated', 'capitalism', 'leads', 'bank', 'real', 'estate', 'failures', 'like', '2008', 'earthquakes', 'cal', 'live', 'kill', 'dozens', 'turkey', 'kill', 'tens', 'thousands', 'lack', 'gov', 'refs', 'building', 'codes']","['regul', 'capit', 'one', 'biggest', 'driver', 'human', 'progress', 'unregul', 'capit', 'lead', 'bank', 'real', 'estat', 'failur', 'like', '2008', 'earthquak', 'cal', 'live', 'kill', 'dozen', 'turkey', 'kill', 'ten', 'thousand', 'lack', 'gov', 'ref', 'build', 'code']",regul capit one biggest driver human progress unregul capit lead bank real estat failur like 2008 earthquak cal live kill dozen turkey kill ten thousand lack gov ref build code
2/20/2023 4:44,zahida_waheed,Charlie Hebdo Making Fun of the Dead in Turkey Earthquake via ,charlie hebdo making fun of the dead in turkey earthquake via ,"['charlie', 'hebdo', 'making', 'fun', 'of', 'the', 'dead', 'in', 'turkey', 'earthquake', 'via']","['charlie', 'hebdo', 'making', 'fun', 'dead', 'turkey', 'earthquake', 'via']","['charli', 'hebdo', 'make', 'fun', 'dead', 'turkey', 'earthquak', 'via']",charli hebdo make fun dead turkey earthquak via
2/20/2023 4:44,EU_Libertarian, well glad at least the earthquake in Turkey was genuine with the epicenter being wait what , well glad at least the earthquake in turkey was genuine with the epicenter being wait what ,"['well', 'glad', 'at', 'least', 'the', 'earthquake', 'in', 'turkey', 'was', 'genuine', 'with', 'the', 'epicenter', 'being', 'wait', 'what']","['well', 'glad', 'least', 'earthquake', 'turkey', 'genuine', 'epicenter', 'wait']","['well', 'glad', 'least', 'earthquak', 'turkey', 'genuin', 'epicent', 'wait']",well glad least earthquak turkey genuin epicent wait
2/20/2023 4:44,MarciaC03434927,Romanian Senator claims Turkey s earthquake was caused by a geological weapon part of a mass genocide agenda ,romanian senator claims turkey s earthquake was caused by a geological weapon part of a mass genocide agenda ,"['romanian', 'senator', 'claims', 'turkey', 's', 'earthquake', 'was', 'caused', 'by', 'a', 'geological', 'weapon', 'part', 'of', 'a', 'mass', 'genocide', 'agenda']","['romanian', 'senator', 'claims', 'turkey', 'earthquake', 'caused', 'geological', 'weapon', 'part', 'mass', 'genocide', 'agenda']","['romanian', 'senat', 'claim', 'turkey', 'earthquak', 'caus', 'geolog', 'weapon', 'part', 'mass', 'genocid', 'agenda']",romanian senat claim turkey earthquak caus geolog weapon part mass genocid agenda
2/20/2023 4:44,wcvictery,On February 3 2023 a massive earthquake struck Turkey and Syria The United States is planning on adding 100 million dollars more to the previously 85 million already given President Biden plans on splitting the money up for refugee and humanitarian support ,on february 3 2023 a massive earthquake struck turkey and syria the united states is planning on adding 100 million dollars more to the previously 85 million already given president biden plans on splitting the money up for refugee and humanitarian support ,"['on', 'february', '3', '2023', 'a', 'massive', 'earthquake', 'struck', 'turkey', 'and', 'syria', 'the', 'united', 'states', 'is', 'planning', 'on', 'adding', '100', 'million', 'dollars', 'more', 'to', 'the', 'previously', '85', 'million', 'already', 'given', 'president', 'biden', 'plans', 'on', 'splitting', 'the', 'money', 'up', 'for', 'refugee', 'and', 'humanitarian', 'support']","['february', '3', '2023', 'massive', 'earthquake', 'struck', 'turkey', 'syria', 'united', 'states', 'planning', 'adding', '100', 'million', 'dollars', 'previously', '85', 'million', 'already', 'given', 'president', 'biden', 'plans', 'splitting', 'money', 'refugee', 'humanitarian', 'support']","['februari', '3', '2023', 'massiv', 'earthquak', 'struck', 'turkey', 'syria', 'unit', 'state', 'plan', 'ad', '100', 'million', 'dollar', 'previous', '85', 'million', 'alreadi', 'given', 'presid', 'biden', 'plan', 'split', 'money', 'refuge', 'humanitarian', 'support']",februari 3 2023 massiv earthquak struck turkey syria unit state plan ad 100 million dollar previous 85 million alreadi given presid biden plan split money refuge humanitarian support
2/20/2023 4:45,newschannelnine,DEVELOPING U S Secretary of State Antony Blinken arrived in southern Turkey on Sunday and set off on a tour of the earthquake disaster zone accompanied by the Turkish foreign minister MORE ,developing u s secretary of state antony blinken arrived in southern turkey on sunday and set off on a tour of the earthquake disaster zone accompanied by the turkish foreign minister more ,"['developing', 'u', 's', 'secretary', 'of', 'state', 'antony', 'blinken', 'arrived', 'in', 'southern', 'turkey', 'on', 'sunday', 'and', 'set', 'off', 'on', 'a', 'tour', 'of', 'the', 'earthquake', 'disaster', 'zone', 'accompanied', 'by', 'the', 'turkish', 'foreign', 'minister', 'more']","['developing', 'u', 'secretary', 'state', 'antony', 'blinken', 'arrived', 'southern', 'turkey', 'sunday', 'set', 'tour', 'earthquake', 'disaster', 'zone', 'accompanied', 'turkish', 'foreign', 'minister']","['develop', 'u', 'secretari', 'state', 'antoni', 'blinken', 'arriv', 'southern', 'turkey', 'sunday', 'set', 'tour', 'earthquak', 'disast', 'zone', 'accompani', 'turkish', 'foreign', 'minist']",develop u secretari state antoni blinken arriv southern turkey sunday set tour earthquak disast zone accompani turkish foreign minist
2/20/2023 4:45,KMPHFOX26,U S Secretary of State Antony Blinken arrived in southern Turkey on Sunday and set off on a tour of the earthquake disaster zone accompanied by the Turkish foreign minister ,u s secretary of state antony blinken arrived in southern turkey on sunday and set off on a tour of the earthquake disaster zone accompanied by the turkish foreign minister ,"['u', 's', 'secretary', 'of', 'state', 'antony', 'blinken', 'arrived', 'in', 'southern', 'turkey', 'on', 'sunday', 'and', 'set', 'off', 'on', 'a', 'tour', 'of', 'the', 'earthquake', 'disaster', 'zone', 'accompanied', 'by', 'the', 'turkish', 'foreign', 'minister']","['u', 'secretary', 'state', 'antony', 'blinken', 'arrived', 'southern', 'turkey', 'sunday', 'set', 'tour', 'earthquake', 'disaster', 'zone', 'accompanied', 'turkish', 'foreign', 'minister']","['u', 'secretari', 'state', 'antoni', 'blinken', 'arriv', 'southern', 'turkey', 'sunday', 'set', 'tour', 'earthquak', 'disast', 'zone', 'accompani', 'turkish', 'foreign', 'minist']",u secretari state antoni blinken arriv southern turkey sunday set tour earthquak disast zone accompani turkish foreign minist
2/20/2023 4:45,rhehost, Magnitudo 4 1 24 km NNE of Nurda Turkey 14 minutes 30 seconds ago , magnitudo 4 1 24 km nne of nurda turkey 14 minutes 30 seconds ago ,"['magnitudo', '4', '1', '24', 'km', 'nne', 'of', 'nurda', 'turkey', '14', 'minutes', '30', 'seconds', 'ago']","['magnitudo', '4', '1', '24', 'km', 'nne', 'nurda', 'turkey', '14', 'minutes', '30', 'seconds', 'ago']","['magnitudo', '4', '1', '24', 'km', 'nne', 'nurda', 'turkey', '14', 'minut', '30', 'second', 'ago']",magnitudo 4 1 24 km nne nurda turkey 14 minut 30 second ago
2/20/2023 4:45,OffThePress1,Turkey Winds Down Earthquake Survivor Rescue Phase ,turkey winds down earthquake survivor rescue phase ,"['turkey', 'winds', 'down', 'earthquake', 'survivor', 'rescue', 'phase']","['turkey', 'winds', 'earthquake', 'survivor', 'rescue', 'phase']","['turkey', 'wind', 'earthquak', 'survivor', 'rescu', 'phase']",turkey wind earthquak survivor rescu phase
2/20/2023 4:45,WHYYNews,U S Secretary of State Antony Blinken has taken a helicopter tour of one of the provinces worst affected by the Feb 6 earthquake in southern Turkey and northern Syria He pledged a further 100 million in disaster aid to help the region ,u s secretary of state antony blinken has taken a helicopter tour of one of the provinces worst affected by the feb 6 earthquake in southern turkey and northern syria he pledged a further 100 million in disaster aid to help the region ,"['u', 's', 'secretary', 'of', 'state', 'antony', 'blinken', 'has', 'taken', 'a', 'helicopter', 'tour', 'of', 'one', 'of', 'the', 'provinces', 'worst', 'affected', 'by', 'the', 'feb', '6', 'earthquake', 'in', 'southern', 'turkey', 'and', 'northern', 'syria', 'he', 'pledged', 'a', 'further', '100', 'million', 'in', 'disaster', 'aid', 'to', 'help', 'the', 'region']","['u', 'secretary', 'state', 'antony', 'blinken', 'taken', 'helicopter', 'tour', 'one', 'provinces', 'worst', 'affected', 'feb', '6', 'earthquake', 'southern', 'turkey', 'northern', 'syria', 'pledged', '100', 'million', 'disaster', 'aid', 'help', 'region']","['u', 'secretari', 'state', 'antoni', 'blinken', 'taken', 'helicopt', 'tour', 'one', 'provinc', 'worst', 'affect', 'feb', '6', 'earthquak', 'southern', 'turkey', 'northern', 'syria', 'pledg', '100', 'million', 'disast', 'aid', 'help', 'region']",u secretari state antoni blinken taken helicopt tour one provinc worst affect feb 6 earthquak southern turkey northern syria pledg 100 million disast aid help region
2/20/2023 4:46,ElenahJu,I ve read 3 earthquake experts predict an 80 chance of an Istanbul above 7 quake in the next decades or so I doubt Turkey follows anti seismic norms in building as well as Japan does ,i ve read 3 earthquake experts predict an 80 chance of an istanbul above 7 quake in the next decades or so i doubt turkey follows anti seismic norms in building as well as japan does ,"['i', 've', 'read', '3', 'earthquake', 'experts', 'predict', 'an', '80', 'chance', 'of', 'an', 'istanbul', 'above', '7', 'quake', 'in', 'the', 'next', 'decades', 'or', 'so', 'i', 'doubt', 'turkey', 'follows', 'anti', 'seismic', 'norms', 'in', 'building', 'as', 'well', 'as', 'japan', 'does']","['read', '3', 'earthquake', 'experts', 'predict', '80', 'chance', 'istanbul', '7', 'quake', 'next', 'decades', 'doubt', 'turkey', 'follows', 'anti', 'seismic', 'norms', 'building', 'well', 'japan']","['read', '3', 'earthquak', 'expert', 'predict', '80', 'chanc', 'istanbul', '7', 'quak', 'next', 'decad', 'doubt', 'turkey', 'follow', 'anti', 'seismic', 'norm', 'build', 'well', 'japan']",read 3 earthquak expert predict 80 chanc istanbul 7 quak next decad doubt turkey follow anti seismic norm build well japan
